,date,family,keys,ref,ref type,summary,tags
2,"August 13, 2018",cds_education,"['full svm tutorial', '  python code examples']",https://sadanand-singh.github.io/posts/svmpython/#setup,url,A practical tutorial on how to use python and sklearn's SVM for classification and regression.,"['svm', 'regression', 'classification', 'svr', 'svc', 'python', 'example']"
3,"August 14, 2018",,"['finding support vectors', 'math behind kernels']",http://axon.cs.byu.edu/Dan/478/misc/SVM.example.pdf,url,Formal math behind SVM. Explains how to find support vectors using dot products and how kernels work mathematically.,"['svm', 'svr', 'svc', 'support vector', 'math']"
4,"August 14, 2018",cds_education,"['graphs', 'simple']",https://www.svm-tutorial.com/2015/06/svm-understanding-math-part-3/,url,"Easy explanation of how to find SVM, with lots of graphs.","['svm', 'svr', 'svc', 'regression', 'classification']"
5,"August 14, 2018",cds_education,"['powerpoint', 'mit', 'full explanation of svms']",http://web.mit.edu/6.034/wwwbob/svm-notes-long-08.pdf,url,A powerpoint explaning SVMs from start to end.,"['svm', 'svr', 'svc', 'kernel', 'regression', 'classification']"
7,"August 14, 2018",cds_education,"['graphs comparing different c-values on svm', 'graphs', 'compare c-values']",http://yaroslavvb.com/upload/save/so-libsvm.png,url,graphs comparing different c-values on svm,"['svm', 'classification', 'svr', 'support vectors', 'visual', 'graph']"
8,"August 14, 2018",cds_education,"['short', 'graphs', 'equations', 'intro']",http://www.saedsayad.com/support_vector_machine_reg.htm,url,Short introduction to svms for regression.,"['regression', 'svm', 'svr']"
9,"August 14, 2018",,['further reading'],https://machinelearningmastery.com/support-vector-machines-for-machine-learning/,url,Links for further reading (books to buy and Q&A's to look at) at the bottom of the page.,"['svm', 'general', 'further reading']"
10,"August 14, 2018",cds_education,"['simple', 'graphs', 'svm explanation']",https://medium.com/machine-learning-101/chapter-2-svm-support-vector-machine-theory-f0812effc72,url,Easy intro to SVM,"['svm', 'svr', 'svc']"
11,"August 14, 2018",cds_education,"['powerpoint', 'perceptron intro', 'perceptron convergence theorem', 'math']",http://130.243.105.49/~lilien/ml/seminars/2007_02_01b-Janecek-Perceptron.pdf,url,Powerpoint covering a full intro to perceptrons for neural nets.,"['perceptron', 'intro']"
13,"August 14, 2018",cds_education,"['powerpoint', 'in-depth perceptron', 'intro svm']",https://www.cs.cmu.edu/~ggordon/svms/new-svms-and-kernels.pdf,url,Powerpoint going briefly over SVM and more in-depth on the math of perceptrons.,"['svm', 'perceptron', 'math']"
17,"August 14, 2018",cds_education,"['easy', 'in depth', 'svm', 'graphs']",https://medium.com/@pushkarmandot/mathematical-view-of-support-vector-machine-power-of-machine-learning-and-artificial-intelligence-f68eb4a466d1,url,In-depth explanation of how SVMs work. Builds useful intuition.,"['svm', 'svr', 'svc', 'classification', 'regression']"
18,"August 14, 2018",cds_education,"['stack exchange', 'intuition behind svm math']",https://datascience.stackexchange.com/questions/13266/understanding-the-math-behind-svm,url,Easy to understand intuition behind svm math. Stack exchange response.,"['svm', 'forum', 'svc', 'classification']"
57,"August 21, 2018",cds_education,"['kmeans tutorial', 'graphics']",https://mubaris.com/2017/10/01/kmeans-clustering-in-python/,url,Kmeans tutorial with a focus on understanding through graphs.,"['kmeans', 'tutorial']"
58,"August 21, 2018",cds_education,"['kmeans tutorial', 'python example']",http://benalexkeen.com/k-means-clustering-in-python/,url,Kmeans tutorial with emphasis on coded example in python.,"['kmeans', 'tutorial']"
